9.493	-2.299	+0.00000	+0.2051
9.585	-2.279	+0.00000	+0.1333
9.694	-2.198	-0.1538	+0.00000
9.798	-2.270	-0.1230	+0.00000
9.874	-2.291	-0.09229	+0.00000
9.994	-2.292	-0.09229	+0.00000
10.08	-2.365	+0.00000	+0.1538
10.19	-2.355	+0.00000	+0.07178
10.29	-2.366	-0.1025	+0.00000
10.38	-2.387	-0.09229	+0.00000
10.49	-2.439	-0.08204	+0.00000
10.60	-2.481	-0.09229	+0.00000
10.69	-2.574	-0.1128	+0.00000
10.78	-2.657	-0.1025	+0.00000
10.89	-2.781	-0.1025	+0.00000
10.99	-2.946	-0.09229	+0.00000
11.09	-3.131	-0.08204	+0.00000
11.20	-3.337	-0.1948	+0.00000
11.29	-3.708	-0.2974	+0.00000
11.38	-3.862	-0.2256	+0.00000
11.49	-4.140	-0.2358	+0.00000
11.58	-4.829	+0.00000	+0.4820
