# Analytic fit parameters for the partial photoionisation cross-sections 
# from all sub-shells (n, l) of the ground state of each atom and ion, taken from: 
# Verner & Yakovlev 1995, A&AS, 109, 125 
# We include only the 11 elements that are in CHIMES. We use these fits to calculate 
# the Auger photoionisation rates from the inner shells. 
# The columns are as follows: 
# ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
# Column	Variable	Units	Description 
# ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#    1		   Z		 N/A	Atomic number 
#    2		   N		 N/A	Number of electrons
#    3		   n		 N/A	Principal quantum number of the subshell
#    4		   l		 N/A	Oribital quantum number
#    5		   E_th		 eV 	Threshold ionisation energy of the subshell
#    6		   E_0		 eV	Fit parameter in equation 1
#    7 		   sigma_0	 Mb	Fit parameter in equation 1
#    8 		   y_a		 N/A 	Fit parameter in equation 1
#    9 		   P 		 N/A	Fit parameter in equation 1
#    10 	   y_w 		 N/A 	Fit parameter in equation 1
# ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
8	3	1	0	6.837E+02	1.354E+02	6.029E+01	5.682E+01	1.533E+00	0.000E+00
8	2	1	0	7.393E+02	8.709E+01	1.329E+02	2.535E+01	2.336E+00	0.000E+00
8	1	1	0	8.714E+02	2.754E+01	8.554E+02	3.288E+01	2.963E+00	0.000E+00
10	10	2	1	2.156E+01	2.000E+01	1.691E+04	2.442E+00	1.043E+01	3.345E-01
10	10	2	0	4.847E+01	3.204E+01	5.615E+01	5.808E+00	6.678E+00	0.000E+00
10	10	1	0	8.701E+02	3.144E+02	1.664E+01	2.042E+05	8.450E-01	0.000E+00
10	9	2	1	4.096E+01	3.428E+01	2.766E+02	4.179E+01	4.029E+00	3.052E-01
10	9	2	0	6.374E+01	3.187E+01	4.025E+01	8.495E+00	6.038E+00	0.000E+00
10	9	1	0	8.831E+02	2.452E+02	2.783E+01	6.075E+01	1.420E+00	0.000E+00
10	8	2	1	6.346E+01	3.485E+01	2.451E+02	6.937E+01	3.645E+00	2.042E-01
10	8	2	0	8.721E+01	3.192E+01	3.797E+01	1.054E+01	5.652E+00	0.000E+00
10	8	1	0	9.131E+02	2.387E+02	2.943E+01	6.525E+01	1.424E+00	0.000E+00
10	7	2	1	9.712E+01	3.494E+01	2.214E+02	7.203E+01	3.563E+00	2.573E-01
10	7	2	0	1.132E+02	3.092E+01	4.190E+01	1.139E+01	5.554E+00	0.000E+00
10	7	1	0	9.480E+02	2.360E+02	3.027E+01	6.734E+01	1.422E+00	0.000E+00
10	6	2	1	1.262E+02	3.316E+01	1.962E+02	7.397E+01	3.563E+00	2.895E-01
10	6	2	0	1.415E+02	2.615E+01	5.421E+01	1.117E+01	5.907E+00	0.000E+00
10	6	1	0	9.873E+02	2.343E+02	3.097E+01	6.907E+01	1.416E+00	0.000E+00
10	5	2	1	1.579E+02	2.740E+01	1.717E+02	6.423E+01	3.819E+00	1.680E-01
10	5	2	0	1.719E+02	2.496E+01	5.575E+01	1.427E+01	5.562E+00	0.000E+00
10	5	1	0	1.031E+03	2.308E+02	3.232E+01	7.167E+01	1.411E+00	0.000E+00
10	4	2	0	2.073E+02	2.822E+01	4.978E+01	2.600E+01	4.500E+00	0.000E+00
10	4	1	0	1.078E+03	1.886E+02	5.011E+01	5.000E+01	1.650E+00	0.000E+00
10	3	2	0	2.391E+02	2.859E+01	2.897E+01	3.836E+01	3.992E+00	0.000E+00
10	3	1	0	1.125E+03	2.193E+02	3.719E+01	8.181E+01	1.396E+00	0.000E+00
